null,ChIJO_vneUH2pzsR694Rvphyv1c,"Kamakoti Yajurveda Patasala","","Irinjalakuda, near Koodalmanikyam Temple, Thrissur, Kerala 680121, Indien","null",10.34648870000000,76.20243180000000,null,
null,ChIJEQLOGPhtqDsRT5myUnH-n6g,"Nurani Veda Dharma Patasala","","Single St, Thondikulam, Nurani, Palakkad, Kerala 678004, Indien","Thondikulam, Nurani",10.76812460000000,76.64258360000000,null,
null,ChIJVeqOJ3VuqDsRuaQNWx620KI,"VEDA RAKSHANA SAMITHI","","Ramanathapuram, Palakkad, Kerala 678014, Indien","Ramanathapuram",10.78250370000000,76.66521380000000,SearchResult.TYPE_SCHOOL,+914912547196
null,ChIJFTaYE-ZYqDsRq_l1tYPQ-M8,"VEDA SASTHRA VIDHYA TRUST","","No: 239, Alagesan Rd, Jawahar Nagar, Coimbatore, Tamil Nadu 641011, Indien","Jawahar Nagar",11.02289930000000,76.94602210000000,null,+919894619671
null,ChIJvVQ7nqwUqDsRkOG2gTrfnCs,"Padasala Sanskrit High School","","Thekkegramam, Chittur, Kerala 678101, Indien","Thekkegramam",10.69315190000000,76.73946910000000,SearchResult.TYPE_SCHOOL,+914923222126
null,ChIJF_uaVOvpBjsRM50JhMTfz6I,"Ramco Veda Patasala","","Tamil Nadu 626117, Indien","null",9.42805560000000,77.53916670000000,SearchResult.TYPE_TEMPLE,
null,ChIJFaISUzU-rjsR-JqXD6WaJnA,"Shri Gautama Veda Pathashala","","FF-1 Sapthagiri Residency VI, TG Layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085, Indien","TG Layout, Ittamadu, Banashankari 3rd Stage, Hosakerehalli",12.91947780000000,77.53946580000000,SearchResult.TYPE_SKILL_INSTRUCTION,+919972955122
null,ChIJlSj0bGRBuzsR2ws_-Z3sYXw,"Sringeri Veda Pathashala","","Menase, Karnataka 577139, Indien","null",13.41278020000000,75.25472060000000,null,
null,ChIJdR0rl-JArjsRNJ0l7mQfBig,"Veda Agama Samskrutha Maha Patashala, Sri Sri Gurukul","","Sanskrit School, Bengaluru, Karnataka 560082, Indien","null",12.82835960000000,77.50283170000000,SearchResult.TYPE_SCHOOL,+918026080210
null,ChIJf8RBL513rzsRA8jtgvk6Pqk,"Sri vedamata veda Gurukula Pathashala","","Poornaiah Rd, Srirangapatna, Karnataka 571438, Indien","null",12.42439660000000,76.68719349999999,SearchResult.TYPE_SCHOOL,+919341257336
null,ChIJQ329WWlBBzsRjZ5K48UiyjU,"Vidya bharathi saanga veda paripalana sabha","","Melmangalam, Tamil Nadu 625562, Indien","null",10.05178990000000,77.56767350000000,SearchResult.TYPE_SCHOOL,
null,ChIJm6A4zJw9rjsR5_PGMN6Lb2o,"Sri Sachidananda Advaitha Veda Patasala","","Door No,  1012, 66th Cross Rd, 5th Block, Jedara Halli, Rajajinagar, Bengaluru, Karnataka 10, Indien","5th Block, Jedara Halli, Rajajinagar",12.98252600000000,77.55063659999999,SearchResult.TYPE_HINDU_TEMPLE,
null,ChIJWfLetP4WUzoRG-dHs_YQw9w,"Sri Baala Veda Patasala","","109,GST Road,, Kadamalaiputhur Village Perumberkandigai Post, Acharapakkam, Tamil Nadu 603310, Indien","null",12.37714300000000,79.78923700000000,SearchResult.TYPE_SCHOOL,+919840912762
