id,place_id,name,plus_compound_code,global_code,vicinity,deity,deity_local,lat,lon,country,state
47146,ChIJ-6XxlWa1lTkRoVuvvpvhqC0,shiva mandir,7MV5VXC9+M3,"Gajarkot, Nepal","Gajarkot, Nepal",,,83.96767299999999,27.8716831,Nepal,Nepal
36508,ChIJvepinIfOlTkRRJ2CXqJTAHE,Radha Krishna Mandir,7MV5VRQ4+G7,"चापाकोट राजमार्ग, Chapakot 33800, Nepal","चापाकोट राजमार्ग, Chapakot 33800, Nepal",,,83.80570329999999,27.88877990000001,Nepal,Nepal
36518,ChIJW9h7pn_OlTkRkZCuE1fs3WU,Baraha Temple,7MV5VRJ2+JX,"Kisan Utak Rd, Chapakot 33709, Nepal","Kisan Utak Rd, Chapakot 33709, Nepal",,,83.8024909,27.8816039,Nepal,Nepal
36520,ChIJycP3hXDPlTkRXWU5ku-NMro,Tripureshwor Mahadev Mandir,7MV5VRJ9+HQ,"D9, Chapakot 33800, Nepal","D9, Chapakot 33800, Nepal",,,83.8193811,27.8814598,Nepal,Nepal
36527,ChIJD2vZdfu1lTkRYQ0GY1g0S6A,Shivalaya,7MV5VWHR+F3,"Baidi Hwy, Sankhar 33800, Nepal","Baidi Hwy, Sankhar 33800, Nepal",,,83.9401321,27.87872499999999,Nepal,Nepal
36532,ChIJKYEsEgbLlTkRlcRdAtNM5tQ,Radhadamodar Mandir,7MV5VWGJ+2P,"Sankhar 33800, Nepal","Sankhar 33800, Nepal",,,83.9317811,27.8750221,Nepal,Nepal
48998,ChIJ4S19GyfKlTkRBipFwiO0-50,Shiv Mandir,7MV5VWJ3+JF,"Tilpur St, Rampur 33800, Nepal","Tilpur St, Rampur 33800, Nepal",,,83.9037386,27.8815274,Nepal,Nepal
45897,ChIJkVIu4WyxlTkRmevrAgXfhog,तुलसी देवी मन्दिर,7MV6W2QF+QH,"Bhimad, Nepal","Bhimad, Nepal",,,84.0239498,27.9393828,Nepal,Nepal
46076,ChIJP1ZYaVWvlTkRwmBjcBf6sWQ,Shree Ajhambari Temple,7MV6W4JX+CM,"Bhirkot Rd, Ramjakot, Nepal","Bhirkot Rd, Ramjakot, Nepal",,,84.14920930000001,27.93111,Nepal,Nepal
46092,ChIJ55BwpKGxlTkRGwoTRJJhdJE,Kale bhairab mandir,7MV6W4H2+G7,"Shamung Bhagawatipur, Nepal","Shamung Bhagawatipur, Nepal",,,84.1006476,27.9288551,Nepal,Nepal
46228,ChIJOQCQzBKxlTkRDqSgCYbKJF8,मन्दिर,7MV6W39P+8J,"Shamung Bus Stop, Baidi Hwy, Shamung Bhagawatipur, Nepal","Shamung Bus Stop, Baidi Hwy, Shamung Bhagawatipur, Nepal",,,84.08660590000001,27.9182728,Nepal,Nepal
46224,ChIJmZxFvAqxlTkRF-YNlXHvMpk,थानी माई मन्दिर,7MV6W39G+HP,"Shamung Bhagawatipur, Nepal","Shamung Bhagawatipur, Nepal",,,84.0768483,27.91887839999999,Nepal,Nepal
46226,ChIJF0bFZKmxlTkR4uuioJJ2t2k,Bhagwati Mai Mandir,7MV6W39P+3Q,"Bhagawatipur, Kotsabhung Shamung, Gandaki, Nepal","Bhagawatipur, Kotsabhung Shamung, Gandaki, Nepal",,,84.08699299999999,27.9176415,Nepal,Nepal
46418,ChIJgdY86qOvlTkRY_gB7NPKiuk,Kadampani Devisthan Temple,7MV6W46R+7V,"Unnamed Road, Ramjakot, Nepal","Unnamed Road, Ramjakot, Nepal",,,84.1421826,27.9107041,Nepal,Nepal
46403,ChIJn9iGsmaxlTkRoAC7cCxteRg,Ghiring kot,7MV6W25R+P3,"Ghiring Sundhara, Nepal","Ghiring Sundhara, Nepal",,,84.0401859,27.9093658,Nepal,Nepal
46402,ChIJ81fZGwqxlTkRfuV7UCj-sA0,"Bala Bhairav,, Aaramkot",7MV6W26C+97,"Ghiring Sundhara, Nepal","Ghiring Sundhara, Nepal",,,84.0206664,27.9108916,Nepal,Nepal
46613,ChIJJXW0u-ixlTkRzYB2-TlgZmQ,Thani Maai Temple थानिमाई मन्दिर,7MV6W24M+F7,"Baidi Hwy, Ghiring Sundhara, Nepal","Baidi Hwy, Ghiring Sundhara, Nepal",,,84.0331444,27.90619319999999,Nepal,Nepal
46612,ChIJx2AwKkKxlTkRAnHN6d0vBPA,Bhimsen Mandir,7MV6W24P+V6,"Baidi Hwy, Ghiring Sundhara, Nepal","Baidi Hwy, Ghiring Sundhara, Nepal",,,84.03552619999999,27.9071971,Nepal,Nepal
46617,ChIJsVhjpl2xlTkRyUyJ_8-PHFc,"Bala Bhairav Temple, Aaramkot",7MV6W22G+FW,"Ghiring Sundhara, Nepal","Ghiring Sundhara, Nepal",,,84.0273168,27.9011472,Nepal,Nepal
46770,ChIJTRG6Ady3lTkRhyKJpegnI5E,"Kot Nau Than Mandir, Gajarkot",7MV5VXVC+5Q,"Baidi Hwy, Gajarkot, Nepal","Baidi Hwy, Gajarkot, Nepal",,,83.9718881,27.8928813,Nepal,Nepal
46905,ChIJwxdxmIG2lTkRgmwhlulU6i4,Kot Ghar,7MV5VXQH+V9,"Baidi Hwy, Gajarkot, Nepal","Baidi Hwy, Gajarkot, Nepal",,,83.97842059999999,27.88966019999999,Nepal,Nepal
47025,ChIJhSG89AfKlTkRTBGLONldZMA,Radha Krishna Mandir,null,"Mandir Rd, Sankhar 33800, Nepal","Mandir Rd, Sankhar 33800, Nepal",,,83.93181725,27.8750316,Nepal,Nepal
49010,ChIJlb8P8QfKlTkRnUNjYzZZzew,Keladighat Dham,null,"Bhimad Sankhar Hwy, Sankhar 33800, Nepal","Bhimad Sankhar Hwy, Sankhar 33800, Nepal",,,83.931551,27.87460355,Nepal,Nepal
47027,ChIJTQnIQ8O1lTkRcg0I3xcC96s,Krishna mandir,7MV5VWGP+2J,"Ramjanaki Mandir, Rampur, Nepal","Ramjanaki Mandir, Rampur, Nepal",,,83.9366077,27.8750811,Nepal,Nepal
47147,ChIJrRSQ6Jq1lTkRAsDFA3ZPMdE,Shivalaya (Shiva mandir),7MV5VXC2+CG,"Gajarkot, Nepal","Gajarkot, Nepal",,,83.95128249999999,27.8710127,Nepal,Nepal
47336,ChIJX5TMXGStlTkRRpmIKJPyJDc,Shiva Mandir(Temple),7MV6V433+HG,"Mithukaram, Nepal","Mithukaram, Nepal",,,84.1038404,27.8538782,Nepal,Nepal
47335,ChIJg9dGI0StlTkRYCheNEFqZUw,Siddha ko Than,7MV6V444+M9,"Mithukaram, Nepal","Mithukaram, Nepal",,,84.1059818,27.8566261,Nepal,Nepal
47331,ChIJVWIuWMWtlTkRTTaZbiOpBWc,Kamadhenu Temple,7MV6V44F+65,"Bharatipur, Nepal","Bharatipur, Nepal",,,84.1228941,27.8555507,Nepal,Nepal
47374,ChIJ4TOU-WytlTkRv9LvHCBJKXo,Radha Krishna Mandir,7MV6V425+J7,"Mithukaram, Nepal","Mithukaram, Nepal",,,84.108203,27.8515432,Nepal,Nepal
47421,ChIJo1iJ-DqzlTkRXvcgniQQVwo,Jaldevi Mandir,7MV6R3XX+48,"Mithukaram 33000, Nepal","Mithukaram 33000, Nepal",,,84.09833449999999,27.8478006,Nepal,Nepal
47518,ChIJgTjnwXyzlTkRH_CbNXMVn6w,Raika Devi Temple,7MV6R2JC+W5,"Bakamalang Sadak, Wakamalang 33000, Nepal","Bakamalang Sadak, Wakamalang 33000, Nepal",,,84.0204804,27.8323377,Nepal,Nepal
47515,ChIJl5hfro-0lTkRQFZXLNjXm8o,Maula Kalika,7MV6R2J3+XH,"Wakamalang 32500, Nepal","Wakamalang 32500, Nepal",,,84.0039436,27.8324444,Nepal,Nepal
47520,ChIJkekZWhuzlTkRMNaIghN0Hjo,Temple मन्दिर,7MV6R3J3+H9,"Rakuwa 33000, Nepal","Rakuwa 33000, Nepal",,,84.05337689999999,27.831409,Nepal,Nepal
48957,ChIJ1dMx4iG1lTkR8dCjlQA2yqU,Bhattarai Kul Mandir,7MV5VWMJ+JR,"Sundar Basti Road Tintale, Sankhar 33800, Nepal","Sundar Basti Road Tintale, Sankhar 33800, Nepal",,,83.9320949,27.8840793,Nepal,Nepal
48991,ChIJlRDv9P3PlTkRsxa3TN0AKb4,krishna mandir,7MV5VRJ9+JP,"Chapakot Rd, Chapakot 33800, Nepal","Chapakot Rd, Chapakot 33800, Nepal",,,83.81928870000002,27.8816179,Nepal,Nepal
48368,ChIJv4YrqgPPlTkRcvPXdTYKa10,Lagda Sivaji Temple,7MV5WRWV+G6,"Malyangkot Sadak, Chapakot 33800, Nepal","Malyangkot Sadak, Chapakot 33800, Nepal",,,83.8430023,27.9462675,Nepal,Nepal
48449,ChIJUZ-vSd3IlTkR7pVl-aKvw_o,Ram Mandir,7MV5WVR8+4W,"Malengkot 33800, Nepal","Malengkot 33800, Nepal",,,83.86731549999999,27.9403072,Nepal,Nepal
48452,ChIJOfI6KX7JlTkR5mGRZXxhjYQ,Koot Ghar,7MV5WWR9+C2,"Chimnebas 33800, Nepal","Chimnebas 33800, Nepal",,,83.91755429999999,27.9410643,Nepal,Nepal
48463,ChIJPc-tZdvPlTkRkKJUhwFJ3RI,बजादी मन्दिर,7MV5WRPV+RR,"Disingkot Sadak, Malyangkot 33800, Nepal","Disingkot Sadak, Malyangkot 33800, Nepal",,,83.84452800000001,27.9370475,Nepal,Nepal
48561,ChIJXc3NOIDJlTkRhtKvJ8hOBWk,Kul Than,7MV5WWM7+26,"Samakot - Kyakmi Rd, Kyakmi 33800, Nepal","Samakot - Kyakmi Rd, Kyakmi 33800, Nepal",,,83.9130217,27.9325822,Nepal,Nepal
48566,ChIJF7wi4S_JlTkR_4Fim2-2BwM,Shree Manakamana temple,7MV5WWHJ+G4,"Kyakmi 33800, Nepal","Kyakmi 33800, Nepal",,,83.93029150000001,27.9287506,Nepal,Nepal
48708,ChIJ75p1fPzOlTkRWmS4g_ecnD4,Shiva Mandir,7MV5WRC6+GX,"Barikunaa Rd, Chapakot 33800, Nepal","Barikunaa Rd, Chapakot 33800, Nepal",,,83.8124783,27.9213158,Nepal,Nepal
48678,ChIJq5Ws4GnJlTkR-2okmUwLGjQ,Shree kot kalika temple,7MV5WVFM+V4,"Sekham Rd 5, Chapakot 33800, Nepal","Sekham Rd 5, Chapakot 33800, Nepal",,,83.8828046,27.9247046,Nepal,Nepal
48703,ChIJo8YOsRnJlTkReQ_hIT5Ma4U,Manakamana Temple,7MV5WV9C+VJ,"Sekham 33800, Nepal","Sekham 33800, Nepal",,,83.8715986,27.9196439,Nepal,Nepal
48934,ChIJobogjv3JlTkRZx0VuYSY2H8,Mandali Than,null,"Mohami Rd, Sankhar 33800, Nepal","Mohami Rd, Sankhar 33800, Nepal",,,83.93140015,27.89310835,Nepal,Nepal
48936,ChIJwyz35n_PlTkROXCiRqyzWWI,Graunsur mandir Chapakot-8 kwami,7MV5VRVV+W7,"Chapakot 33800, Nepal","Chapakot 33800, Nepal",,,83.84318069999999,27.8947528,Nepal,Nepal
48937,ChIJ5WTDX3bPlTkRf0EShRHGrxk,दुर्गा मन्दिर,7MV5VQVW+8F,"Chapakot 33800, Nepal","Chapakot 33800, Nepal",,,83.79620709999999,27.8932555,Nepal,Nepal
