Nepal,Sudurpaschim,Kailali,135
Nepal,Sudurpaschim,Kanchanpur,138
Pakistan,Punjab,Sialkot,1
Sri Lanka,Central,Kandy,97
Sri Lanka,Central,Matale,49
Sri Lanka,Central,Nuwara Eliya,163
Sri Lanka,Eastern,Ampara,134
Sri Lanka,Eastern,Batticaloa,429
Sri Lanka,Eastern,Trincomalee,164
Sri Lanka,North Central,Anuradhapura,22
Sri Lanka,North Central,Polonnaruwa,30
Sri Lanka,North Western,Kurunegala,37
Sri Lanka,North Western,Puttalam,60
Sri Lanka,Northern,Jaffna,1265
Sri Lanka,Northern,Kilinochchi,172
Sri Lanka,Northern,Mannar,61
Sri Lanka,Northern,Mullaitivu,147
Sri Lanka,Northern,Vavuniya,191
Sri Lanka,Sabaragamuwa,Kegalle,27
Sri Lanka,Sabaragamuwa,Ratnapura,28
Sri Lanka,Southern,Galle,18
Sri Lanka,Southern,Hambantota,3
Sri Lanka,Southern,Matara,13
Sri Lanka,Uva,Badulla,73
Sri Lanka,Uva,Monaragala,23
Sri Lanka,Western,Colombo,52
Sri Lanka,Western,Gampaha,29
Sri Lanka,Western,Kalutara,22
