ChIJaQUNg0r30S0REPSjnkMxscA,"Pura Kawitan - Pasek Celagi (Catur Sanak Bali Mula)","6P3QQC8X+RX","Pedahan Kaja,","Pedahan Kaja,, Central Tianyar, Kubu, Karangasem Regency, Bali 80652, Indonesien",-8.23293860000000,115.44993110000000
ChIJaQUNg0r30S0REPSjnkMxscA,"Pura Kawitan - Pasek Celagi (Catur Sanak Bali Mula)","6P3QQC8X+RX","Pedahan Kaja,","Pedahan Kaja,, Central Tianyar, Kubu, Karangasem Regency, Bali 80652, Indonesien",-8.23293860000000,115.44993110000000
ChIJaQUNg0r30S0REPSjnkMxscA,"Pura Kawitan - Pasek Celagi (Catur Sanak Bali Mula)","6P3QQC8X+RX","Pedahan Kaja,","Pedahan Kaja,, Central Tianyar, Kubu, Karangasem Regency, Bali 80652, Indonesien",-8.23293860000000,115.44993110000000
ChIJaQUNg0r30S0REPSjnkMxscA,"Pura Kawitan - Pasek Celagi (Catur Sanak Bali Mula)","6P3QQC8X+RX","Pedahan Kaja,","Pedahan Kaja,, Central Tianyar, Kubu, Karangasem Regency, Bali 80652, Indonesien",-8.23293860000000,115.44993110000000
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
